gene_id,gene_name,description
ENSMUSG00000026179,Pnkd,paroxysmal nonkinesiogenic dyskinesia [Source:MGI Symbol;Acc:MGI:1930773]
ENSMUSG00000026180,Cxcr2,chemokine (C-X-C motif) receptor 2 [Source:MGI Symbol;Acc:MGI:105303]
ENSMUSG00000026181,Ppm1f,protein phosphatase 1F (PP2C domain containing) [Source:MGI Symbol;Acc:MGI:1918464]
ENSMUSG00000026182,Tnp1,transition protein 1 [Source:MGI Symbol;Acc:MGI:98784]
ENSMUSG00000026185,Igfbp5,insulin-like growth factor binding protein 5 [Source:MGI Symbol;Acc:MGI:96440]
ENSMUSG00000026187,Xrcc5,X-ray repair complementing defective repair in Chinese hamster cells 5 [Source:MGI Symbol;Acc:MGI:104517]
ENSMUSG00000026188,Tmem169,transmembrane protein 169 [Source:MGI Symbol;Acc:MGI:2442781]
ENSMUSG00000026189,Pecr,peroxisomal trans-2-enoyl-CoA reductase [Source:MGI Symbol;Acc:MGI:2148199]
ENSMUSG00000026192,Atic,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:MGI Symbol;Acc:MGI:1351352]
ENSMUSG00000026193,Fn1,fibronectin 1 [Source:MGI Symbol;Acc:MGI:95566]
ENSMUSG00000026196,Bard1,BRCA1 associated RING domain 1 [Source:MGI Symbol;Acc:MGI:1328361]
ENSMUSG00000026197,Zfand2b,"zinc finger, AN1 type domain 2B [Source:MGI Symbol;Acc:MGI:1916068]"
ENSMUSG00000026198,Abcb6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6 [Source:MGI Symbol;Acc:MGI:1921354]"
ENSMUSG00000026199,Ankzf1,ankyrin repeat and zinc finger domain containing 1 [Source:MGI Symbol;Acc:MGI:1098746]
ENSMUSG00000026200,Glb1l,"galactosidase, beta 1-like [Source:MGI Symbol;Acc:MGI:1921827]"
ENSMUSG00000026201,Stk16,serine/threonine kinase 16 [Source:MGI Symbol;Acc:MGI:1313271]
ENSMUSG00000026202,Tuba4a,"tubulin, alpha 4A [Source:MGI Symbol;Acc:MGI:1095410]"
ENSMUSG00000026203,Dnajb2,DnaJ heat shock protein family (Hsp40) member B2 [Source:MGI Symbol;Acc:MGI:1928739]
ENSMUSG00000026204,Ptprn,"protein tyrosine phosphatase, receptor type, N [Source:MGI Symbol;Acc:MGI:102765]"
ENSMUSG00000026205,Slc23a3,"solute carrier family 23 (nucleobase transporters), member 3 [Source:MGI Symbol;Acc:MGI:104516]"
ENSMUSG00000026207,Speg,SPEG complex locus [Source:MGI Symbol;Acc:MGI:109282]
ENSMUSG00000026208,Des,desmin [Source:MGI Symbol;Acc:MGI:94885]
ENSMUSG00000026209,Dnpep,aspartyl aminopeptidase [Source:MGI Symbol;Acc:MGI:1278328]
ENSMUSG00000026211,Obsl1,obscurin-like 1 [Source:MGI Symbol;Acc:MGI:2138628]
ENSMUSG00000026213,Stk11ip,serine/threonine kinase 11 interacting protein [Source:MGI Symbol;Acc:MGI:1918978]
ENSMUSG00000026219,Trip12,thyroid hormone receptor interactor 12 [Source:MGI Symbol;Acc:MGI:1309481]
ENSMUSG00000026220,Slc16a14,"solute carrier family 16 (monocarboxylic acid transporters), member 14 [Source:MGI Symbol;Acc:MGI:1919031]"
ENSMUSG00000026222,Sp100,nuclear antigen Sp100 [Source:MGI Symbol;Acc:MGI:109561]
ENSMUSG00000026223,Itm2c,integral membrane protein 2C [Source:MGI Symbol;Acc:MGI:1927594]
ENSMUSG00000026224,4933407L21Rik,RIKEN cDNA 4933407L21 gene [Source:MGI Symbol;Acc:MGI:1918391]
ENSMUSG00000026226,Spata3,spermatogenesis associated 3 [Source:MGI Symbol;Acc:MGI:1917310]
ENSMUSG00000026227,2810459M11Rik,RIKEN cDNA 2810459M11 gene [Source:MGI Symbol;Acc:MGI:1920042]
ENSMUSG00000026228,Htr2b,5-hydroxytryptamine (serotonin) receptor 2B [Source:MGI Symbol;Acc:MGI:109323]
ENSMUSG00000026229,Psmd1,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]"
ENSMUSG00000026234,Ncl,nucleolin [Source:MGI Symbol;Acc:MGI:97286]
ENSMUSG00000026235,Epha4,Eph receptor A4 [Source:MGI Symbol;Acc:MGI:98277]
ENSMUSG00000026237,Nmur1,neuromedin U receptor 1 [Source:MGI Symbol;Acc:MGI:1341898]
ENSMUSG00000026238,Ptma,prothymosin alpha [Source:MGI Symbol;Acc:MGI:97803]
ENSMUSG00000026239,Pde6d,"phosphodiesterase 6D, cGMP-specific, rod, delta [Source:MGI Symbol;Acc:MGI:1270843]"
ENSMUSG00000026240,Cops7b,COP9 signalosome subunit 7B [Source:MGI Symbol;Acc:MGI:1349388]
ENSMUSG00000026241,Nppc,natriuretic peptide type C [Source:MGI Symbol;Acc:MGI:97369]
ENSMUSG00000026245,Farsb,"phenylalanyl-tRNA synthetase, beta subunit [Source:MGI Symbol;Acc:MGI:1346035]"
ENSMUSG00000026247,Ecel1,endothelin converting enzyme-like 1 [Source:MGI Symbol;Acc:MGI:1343461]
ENSMUSG00000026248,Mrpl44,mitochondrial ribosomal protein L44 [Source:MGI Symbol;Acc:MGI:1916413]
ENSMUSG00000026249,Serpine2,"serine (or cysteine) peptidase inhibitor, clade E, member 2 [Source:MGI Symbol;Acc:MGI:101780]"
ENSMUSG00000026251,Chrnd,"cholinergic receptor, nicotinic, delta polypeptide [Source:MGI Symbol;Acc:MGI:87893]"
ENSMUSG00000026253,Chrng,"cholinergic receptor, nicotinic, gamma polypeptide [Source:MGI Symbol;Acc:MGI:87895]"
ENSMUSG00000026254,Eif4e2,eukaryotic translation initiation factor 4E member 2 [Source:MGI Symbol;Acc:MGI:1914440]
ENSMUSG00000026255,Efhd1,EF hand domain containing 1 [Source:MGI Symbol;Acc:MGI:1921607]
ENSMUSG00000026258,Snorc,secondary ossification center associated regulator of chondrocyte maturation [Source:MGI Symbol;Acc:MGI:1920484]
ENSMUSG00000026259,Ngef,neuronal guanine nucleotide exchange factor [Source:MGI Symbol;Acc:MGI:1858414]
ENSMUSG00000026260,Ndufa10,NADH:ubiquinone oxidoreductase subunit A10 [Source:MGI Symbol;Acc:MGI:1914523]
ENSMUSG00000026269,Rnpepl1,arginyl aminopeptidase (aminopeptidase B)-like 1 [Source:MGI Symbol;Acc:MGI:1914170]
ENSMUSG00000026270,Capn10,calpain 10 [Source:MGI Symbol;Acc:MGI:1344392]
ENSMUSG00000026271,Gpr35,G protein-coupled receptor 35 [Source:MGI Symbol;Acc:MGI:1929509]
ENSMUSG00000026272,Agxt,alanine-glyoxylate aminotransferase [Source:MGI Symbol;Acc:MGI:1329033]
ENSMUSG00000026273,Mterf4,mitochondrial transcription termination factor 4 [Source:MGI Symbol;Acc:MGI:1918355]
ENSMUSG00000026274,Pask,PAS domain containing serine/threonine kinase [Source:MGI Symbol;Acc:MGI:2155936]
ENSMUSG00000026275,Ppp1r7,"protein phosphatase 1, regulatory subunit 7 [Source:MGI Symbol;Acc:MGI:1913635]"
ENSMUSG00000026276,Septin2,septin 2 [Source:MGI Symbol;Acc:MGI:97298]
ENSMUSG00000026277,Stk25,serine/threonine kinase 25 (yeast) [Source:MGI Symbol;Acc:MGI:1891699]
ENSMUSG00000026278,Bok,BCL2-related ovarian killer [Source:MGI Symbol;Acc:MGI:1858494]
ENSMUSG00000026279,Thap4,THAP domain containing 4 [Source:MGI Symbol;Acc:MGI:1914276]
ENSMUSG00000026280,Atg4b,"autophagy related 4B, cysteine peptidase [Source:MGI Symbol;Acc:MGI:1913865]"
ENSMUSG00000026281,Dtymk,deoxythymidylate kinase [Source:MGI Symbol;Acc:MGI:108396]
ENSMUSG00000026283,Ing5,"inhibitor of growth family, member 5 [Source:MGI Symbol;Acc:MGI:1922816]"
ENSMUSG00000026285,Pdcd1,programmed cell death 1 [Source:MGI Symbol;Acc:MGI:104879]
ENSMUSG00000026288,Inpp5d,inositol polyphosphate-5-phosphatase D [Source:MGI Symbol;Acc:MGI:107357]
ENSMUSG00000026289,Atg16l1,autophagy related 16-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924290]
ENSMUSG00000026295,Spp2,secreted phosphoprotein 2 [Source:MGI Symbol;Acc:MGI:1922646]
ENSMUSG00000026301,Iqca,IQ motif containing with AAA domain [Source:MGI Symbol;Acc:MGI:1922168]
ENSMUSG00000026303,Mlph,melanophilin [Source:MGI Symbol;Acc:MGI:2176380]
ENSMUSG00000026304,Rab17,"RAB17, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:104640]"
ENSMUSG00000026305,Lrrfip1,leucine rich repeat (in FLII) interacting protein 1 [Source:MGI Symbol;Acc:MGI:1342770]
ENSMUSG00000026307,Scly,selenocysteine lyase [Source:MGI Symbol;Acc:MGI:1355310]
ENSMUSG00000026308,Klhl30,kelch-like 30 [Source:MGI Symbol;Acc:MGI:1918038]
ENSMUSG00000026309,Ilkap,integrin-linked kinase-associated serine/threonine phosphatase 2C [Source:MGI Symbol;Acc:MGI:1914694]
ENSMUSG00000026311,Asb1,ankyrin repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1929735]
ENSMUSG00000026312,Cdh7,"cadherin 7, type 2 [Source:MGI Symbol;Acc:MGI:2442792]"
ENSMUSG00000026313,Hdac4,histone deacetylase 4 [Source:MGI Symbol;Acc:MGI:3036234]
ENSMUSG00000026315,Serpinb8,"serine (or cysteine) peptidase inhibitor, clade B, member 8 [Source:MGI Symbol;Acc:MGI:894657]"
ENSMUSG00000026317,Cln8,CLN8 transmembrane ER and ERGIC protein [Source:MGI Symbol;Acc:MGI:1349447]
ENSMUSG00000026319,Relch,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing [Source:MGI Symbol;Acc:MGI:1922832]"
ENSMUSG00000026321,Tnfrsf11a,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator [Source:MGI Symbol;Acc:MGI:1314891]"
ENSMUSG00000026322,Htr4,5 hydroxytryptamine (serotonin) receptor 4 [Source:MGI Symbol;Acc:MGI:109246]
ENSMUSG00000026327,Serpinb11,"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 11 [Source:MGI Symbol;Acc:MGI:1914207]"
ENSMUSG00000026333,Gin1,gypsy retrotransposon integrase 1 [Source:MGI Symbol;Acc:MGI:2182036]
ENSMUSG00000026335,Pam,peptidylglycine alpha-amidating monooxygenase [Source:MGI Symbol;Acc:MGI:97475]
ENSMUSG00000026339,Ccdc93,coiled-coil domain containing 93 [Source:MGI Symbol;Acc:MGI:1918079]
ENSMUSG00000026341,Actr3,ARP3 actin-related protein 3 [Source:MGI Symbol;Acc:MGI:1921367]
ENSMUSG00000026342,Slc35f5,"solute carrier family 35, member F5 [Source:MGI Symbol;Acc:MGI:1921400]"
ENSMUSG00000026343,Gpr39,G protein-coupled receptor 39 [Source:MGI Symbol;Acc:MGI:1918361]
ENSMUSG00000026344,Lypd1,Ly6/Plaur domain containing 1 [Source:MGI Symbol;Acc:MGI:1919835]
ENSMUSG00000026347,Tmem163,transmembrane protein 163 [Source:MGI Symbol;Acc:MGI:1919410]
ENSMUSG00000026348,Acmsd,amino carboxymuconate semialdehyde decarboxylase [Source:MGI Symbol;Acc:MGI:2386323]
ENSMUSG00000026349,Ccnt2,cyclin T2 [Source:MGI Symbol;Acc:MGI:1920199]
ENSMUSG00000026353,Ubxn4,UBX domain protein 4 [Source:MGI Symbol;Acc:MGI:1915062]
ENSMUSG00000026354,Lct,lactase [Source:MGI Symbol;Acc:MGI:104576]
ENSMUSG00000026355,Mcm6,minichromosome maintenance complex component 6 [Source:MGI Symbol;Acc:MGI:1298227]
ENSMUSG00000026356,Dars,aspartyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2442544]
ENSMUSG00000026357,Rgs18,regulator of G-protein signaling 18 [Source:MGI Symbol;Acc:MGI:1927498]
ENSMUSG00000026358,Rgs1,regulator of G-protein signaling 1 [Source:MGI Symbol;Acc:MGI:1354694]
ENSMUSG00000026360,Rgs2,regulator of G-protein signaling 2 [Source:MGI Symbol;Acc:MGI:1098271]
ENSMUSG00000026361,Cdc73,"cell division cycle 73, Paf1/RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:2384876]"
ENSMUSG00000026365,Cfh,complement component factor h [Source:MGI Symbol;Acc:MGI:88385]
ENSMUSG00000026368,F13b,"coagulation factor XIII, beta subunit [Source:MGI Symbol;Acc:MGI:88379]"
ENSMUSG00000026374,Tsn,translin [Source:MGI Symbol;Acc:MGI:109263]
ENSMUSG00000026377,Nifk,nucleolar protein interacting with the FHA domain of MKI67 [Source:MGI Symbol;Acc:MGI:1915199]
ENSMUSG00000026380,Tfcp2l1,transcription factor CP2-like 1 [Source:MGI Symbol;Acc:MGI:2444691]
ENSMUSG00000026383,Epb41l5,erythrocyte membrane protein band 4.1 like 5 [Source:MGI Symbol;Acc:MGI:103006]
ENSMUSG00000026384,Ptpn4,"protein tyrosine phosphatase, non-receptor type 4 [Source:MGI Symbol;Acc:MGI:1099792]"
ENSMUSG00000026385,Dbi,diazepam binding inhibitor [Source:MGI Symbol;Acc:MGI:94865]
ENSMUSG00000026387,Sctr,secretin receptor [Source:MGI Symbol;Acc:MGI:2441720]
ENSMUSG00000026388,3110009E18Rik,RIKEN cDNA 3110009E18 gene [Source:MGI Symbol;Acc:MGI:1920353]
ENSMUSG00000026389,Steap3,STEAP family member 3 [Source:MGI Symbol;Acc:MGI:1915678]
ENSMUSG00000026390,Marco,macrophage receptor with collagenous structure [Source:MGI Symbol;Acc:MGI:1309998]
ENSMUSG00000026393,Nek7,NIMA (never in mitosis gene a)-related expressed kinase 7 [Source:MGI Symbol;Acc:MGI:1890645]
ENSMUSG00000026394,Atp6v1g3,"ATPase, H+ transporting, lysosomal V1 subunit G3 [Source:MGI Symbol;Acc:MGI:2450548]"
ENSMUSG00000026395,Ptprc,"protein tyrosine phosphatase, receptor type, C [Source:MGI Symbol;Acc:MGI:97810]"
ENSMUSG00000026398,Nr5a2,"nuclear receptor subfamily 5, group A, member 2 [Source:MGI Symbol;Acc:MGI:1346834]"
ENSMUSG00000026399,Cd55,"CD55 molecule, decay accelerating factor for complement [Source:MGI Symbol;Acc:MGI:104850]"
ENSMUSG00000026401,Cd55b,"CD55 molecule, decay accelerating factor for complement B [Source:MGI Symbol;Acc:MGI:104849]"
ENSMUSG00000026404,Ddx59,DEAD box helicase 59 [Source:MGI Symbol;Acc:MGI:1915247]
ENSMUSG00000026405,C4bp,complement component 4 binding protein [Source:MGI Symbol;Acc:MGI:88229]
ENSMUSG00000026407,Cacna1s,"calcium channel, voltage-dependent, L type, alpha 1S subunit [Source:MGI Symbol;Acc:MGI:88294]"
ENSMUSG00000026409,Pfkfb2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:MGI Symbol;Acc:MGI:107815]"
ENSMUSG00000026411,Tmem9,transmembrane protein 9 [Source:MGI Symbol;Acc:MGI:1913491]
ENSMUSG00000026413,Pkp1,plakophilin 1 [Source:MGI Symbol;Acc:MGI:1328359]
ENSMUSG00000026414,Tnnt2,"troponin T2, cardiac [Source:MGI Symbol;Acc:MGI:104597]"
ENSMUSG00000026415,Fcamr,"Fc receptor, IgA, IgM, high affinity [Source:MGI Symbol;Acc:MGI:1927803]"
ENSMUSG00000026417,Pigr,polymeric immunoglobulin receptor [Source:MGI Symbol;Acc:MGI:103080]
ENSMUSG00000026418,Tnni1,"troponin I, skeletal, slow 1 [Source:MGI Symbol;Acc:MGI:105073]"
ENSMUSG00000026421,Csrp1,cysteine and glycine-rich protein 1 [Source:MGI Symbol;Acc:MGI:88549]
ENSMUSG00000026424,Gpr37l1,G protein-coupled receptor 37-like 1 [Source:MGI Symbol;Acc:MGI:1928503]
ENSMUSG00000026425,Srgap2,SLIT-ROBO Rho GTPase activating protein 2 [Source:MGI Symbol;Acc:MGI:109605]
ENSMUSG00000026426,Arl8a,ADP-ribosylation factor-like 8A [Source:MGI Symbol;Acc:MGI:1915974]
ENSMUSG00000026427,Eif2d,eukaryotic translation initiation factor 2D [Source:MGI Symbol;Acc:MGI:109342]
ENSMUSG00000026429,Ube2t,ubiquitin-conjugating enzyme E2T [Source:MGI Symbol;Acc:MGI:1914446]
ENSMUSG00000026430,Rassf5,Ras association (RalGDS/AF-6) domain family member 5 [Source:MGI Symbol;Acc:MGI:1926375]
ENSMUSG00000026432,Avpr1b,arginine vasopressin receptor 1B [Source:MGI Symbol;Acc:MGI:1347010]
ENSMUSG00000026433,Rab29,"RAB29, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:2385107]"
ENSMUSG00000026434,Nucks1,nuclear casein kinase and cyclin-dependent kinase substrate 1 [Source:MGI Symbol;Acc:MGI:1934811]
ENSMUSG00000026435,Slc45a3,"solute carrier family 45, member 3 [Source:MGI Symbol;Acc:MGI:1922082]"
ENSMUSG00000026436,Elk4,"ELK4, member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:102853]"
ENSMUSG00000026437,Cdk18,cyclin-dependent kinase 18 [Source:MGI Symbol;Acc:MGI:97518]
ENSMUSG00000026439,Rbbp5,"retinoblastoma binding protein 5, histone lysine methyltransferase complex subunit [Source:MGI Symbol;Acc:MGI:1918367]"
ENSMUSG00000026442,Nfasc,neurofascin [Source:MGI Symbol;Acc:MGI:104753]
ENSMUSG00000026443,Lrrn2,"leucine rich repeat protein 2, neuronal [Source:MGI Symbol;Acc:MGI:106037]"
ENSMUSG00000026447,Pik3c2b,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:MGI Symbol;Acc:MGI:2685045]
ENSMUSG00000026450,Chit1,chitinase 1 (chitotriosidase) [Source:MGI Symbol;Acc:MGI:1919134]
ENSMUSG00000026452,Syt2,synaptotagmin II [Source:MGI Symbol;Acc:MGI:99666]
ENSMUSG00000026455,Klhl12,kelch-like 12 [Source:MGI Symbol;Acc:MGI:2385619]
ENSMUSG00000026456,Cyb5r1,cytochrome b5 reductase 1 [Source:MGI Symbol;Acc:MGI:1919267]
ENSMUSG00000026457,Adipor1,adiponectin receptor 1 [Source:MGI Symbol;Acc:MGI:1919924]
ENSMUSG00000026458,Ppfia4,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4 [Source:MGI Symbol;Acc:MGI:1915757]"
ENSMUSG00000026459,Myog,myogenin [Source:MGI Symbol;Acc:MGI:97276]
ENSMUSG00000026463,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4 [Source:MGI Symbol;Acc:MGI:88111]"
ENSMUSG00000026466,Tor1aip1,torsin A interacting protein 1 [Source:MGI Symbol;Acc:MGI:3582693]
ENSMUSG00000026468,Lhx4,LIM homeobox protein 4 [Source:MGI Symbol;Acc:MGI:101776]
ENSMUSG00000026469,Xpr1,xenotropic and polytropic retrovirus receptor 1 [Source:MGI Symbol;Acc:MGI:97932]
ENSMUSG00000026470,Stx6,syntaxin 6 [Source:MGI Symbol;Acc:MGI:1926235]
ENSMUSG00000026471,Mr1,"major histocompatibility complex, class I-related [Source:MGI Symbol;Acc:MGI:1195463]"
ENSMUSG00000026473,Glul,glutamate-ammonia ligase (glutamine synthetase) [Source:MGI Symbol;Acc:MGI:95739]
ENSMUSG00000026475,Rgs16,regulator of G-protein signaling 16 [Source:MGI Symbol;Acc:MGI:108407]
ENSMUSG00000026478,Lamc1,"laminin, gamma 1 [Source:MGI Symbol;Acc:MGI:99914]"
ENSMUSG00000026479,Lamc2,"laminin, gamma 2 [Source:MGI Symbol;Acc:MGI:99913]"
ENSMUSG00000026480,Ncf2,neutrophil cytosolic factor 2 [Source:MGI Symbol;Acc:MGI:97284]
ENSMUSG00000026482,Rgl1,"ral guanine nucleotide dissociation stimulator,-like 1 [Source:MGI Symbol;Acc:MGI:107484]"
ENSMUSG00000026483,Niban1,niban apoptosis regulator 1 [Source:MGI Symbol;Acc:MGI:2137237]
ENSMUSG00000026484,Rnf2,ring finger protein 2 [Source:MGI Symbol;Acc:MGI:1101759]
ENSMUSG00000026489,Coq8a,coenzyme Q8A [Source:MGI Symbol;Acc:MGI:1914676]
ENSMUSG00000026490,Cdc42bpa,CDC42 binding protein kinase alpha [Source:MGI Symbol;Acc:MGI:2441841]
ENSMUSG00000026491,Ahctf1,AT hook containing transcription factor 1 [Source:MGI Symbol;Acc:MGI:1915033]
ENSMUSG00000026492,Tfb2m,"transcription factor B2, mitochondrial [Source:MGI Symbol;Acc:MGI:107937]"
ENSMUSG00000026494,Kif26b,kinesin family member 26B [Source:MGI Symbol;Acc:MGI:2447076]
ENSMUSG00000026495,Efcab2,EF-hand calcium binding domain 2 [Source:MGI Symbol;Acc:MGI:1915476]
ENSMUSG00000026496,Parp1,"poly (ADP-ribose) polymerase family, member 1 [Source:MGI Symbol;Acc:MGI:1340806]"
ENSMUSG00000026499,Acbd3,acyl-Coenzyme A binding domain containing 3 [Source:MGI Symbol;Acc:MGI:2181074]
ENSMUSG00000026500,Cox20,cytochrome c oxidase assembly protein 20 [Source:MGI Symbol;Acc:MGI:1913609]
ENSMUSG00000026502,Desi2,desumoylating isopeptidase 2 [Source:MGI Symbol;Acc:MGI:1926075]
ENSMUSG00000026504,Sdccag8,serologically defined colon cancer antigen 8 [Source:MGI Symbol;Acc:MGI:1924066]
ENSMUSG00000026509,Capn2,calpain 2 [Source:MGI Symbol;Acc:MGI:88264]
ENSMUSG00000026510,Trp53bp2,transformation related protein 53 binding protein 2 [Source:MGI Symbol;Acc:MGI:2138319]
ENSMUSG00000026511,Srp9,signal recognition particle 9 [Source:MGI Symbol;Acc:MGI:1350930]
ENSMUSG00000026514,Cnih3,cornichon family AMPA receptor auxiliary protein 3 [Source:MGI Symbol;Acc:MGI:1920228]
ENSMUSG00000026516,Nvl,nuclear VCP-like [Source:MGI Symbol;Acc:MGI:1914709]
ENSMUSG00000026519,Tmem63a,transmembrane protein 63a [Source:MGI Symbol;Acc:MGI:2384789]
ENSMUSG00000026520,Pycr2,"pyrroline-5-carboxylate reductase family, member 2 [Source:MGI Symbol;Acc:MGI:1277956]"
ENSMUSG00000026523,Wdr64,WD repeat domain 64 [Source:MGI Symbol;Acc:MGI:1923070]
ENSMUSG00000026525,Opn3,opsin 3 [Source:MGI Symbol;Acc:MGI:1338022]
ENSMUSG00000026526,Fh1,fumarate hydratase 1 [Source:MGI Symbol;Acc:MGI:95530]
ENSMUSG00000026527,Rgs7,regulator of G protein signaling 7 [Source:MGI Symbol;Acc:MGI:1346089]
ENSMUSG00000026532,Spta1,"spectrin alpha, erythrocytic 1 [Source:MGI Symbol;Acc:MGI:98385]"
ENSMUSG00000026535,Ifi202b,interferon activated gene 202B [Source:MGI Symbol;Acc:MGI:1347083]
ENSMUSG00000026536,Ifi211,interferon activated gene 211 [Source:MGI Symbol;Acc:MGI:3041120]
ENSMUSG00000026542,Apcs,"amyloid P component, serum [Source:MGI Symbol;Acc:MGI:98229]"
ENSMUSG00000026544,Dusp23,dual specificity phosphatase 23 [Source:MGI Symbol;Acc:MGI:1915690]
ENSMUSG00000026546,Cfap45,cilia and flagella associated protein 45 [Source:MGI Symbol;Acc:MGI:1919120]
ENSMUSG00000026547,Tagln2,transgelin 2 [Source:MGI Symbol;Acc:MGI:1312985]
ENSMUSG00000026548,Slamf9,SLAM family member 9 [Source:MGI Symbol;Acc:MGI:1923692]
ENSMUSG00000026553,Copa,coatomer protein complex subunit alpha [Source:MGI Symbol;Acc:MGI:1334462]
ENSMUSG00000026554,Dcaf8,DDB1 and CUL4 associated factor 8 [Source:MGI Symbol;Acc:MGI:91860]
ENSMUSG00000026556,Vangl2,VANGL planar cell polarity 2 [Source:MGI Symbol;Acc:MGI:2135272]
ENSMUSG00000026558,Uck2,uridine-cytidine kinase 2 [Source:MGI Symbol;Acc:MGI:1931744]
ENSMUSG00000026563,Tada1,transcriptional adaptor 1 [Source:MGI Symbol;Acc:MGI:1196415]
ENSMUSG00000026564,Dusp27,dual specificity phosphatase 27 (putative) [Source:MGI Symbol;Acc:MGI:2685055]
ENSMUSG00000026565,Pou2f1,"POU domain, class 2, transcription factor 1 [Source:MGI Symbol;Acc:MGI:101898]"
ENSMUSG00000026566,Mpzl1,myelin protein zero-like 1 [Source:MGI Symbol;Acc:MGI:1915731]
ENSMUSG00000026567,Adcy10,adenylate cyclase 10 [Source:MGI Symbol;Acc:MGI:2660854]
ENSMUSG00000026568,Mpc2,mitochondrial pyruvate carrier 2 [Source:MGI Symbol;Acc:MGI:1917706]
ENSMUSG00000026571,Dcaf6,DDB1 and CUL4 associated factor 6 [Source:MGI Symbol;Acc:MGI:1921356]
ENSMUSG00000026572,Tbx19,T-box 19 [Source:MGI Symbol;Acc:MGI:1891158]
ENSMUSG00000026573,Xcl1,chemokine (C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:104593]
ENSMUSG00000026574,Dpt,dermatopontin [Source:MGI Symbol;Acc:MGI:1928392]
ENSMUSG00000026575,Nme7,NME/NM23 family member 7 [Source:MGI Symbol;Acc:MGI:2449121]
ENSMUSG00000026576,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide [Source:MGI Symbol;Acc:MGI:88108]"
ENSMUSG00000026577,Blzf1,basic leucine zipper nuclear factor 1 [Source:MGI Symbol;Acc:MGI:1201607]
ENSMUSG00000026578,Ccdc181,coiled-coil domain containing 181 [Source:MGI Symbol;Acc:MGI:1922145]
ENSMUSG00000026579,F5,coagulation factor V [Source:MGI Symbol;Acc:MGI:88382]
ENSMUSG00000026580,Selp,"selectin, platelet [Source:MGI Symbol;Acc:MGI:98280]"
ENSMUSG00000026581,Sell,"selectin, lymphocyte [Source:MGI Symbol;Acc:MGI:98279]"
ENSMUSG00000026582,Sele,"selectin, endothelial cell [Source:MGI Symbol;Acc:MGI:98278]"
ENSMUSG00000026584,Scyl3,SCY1-like 3 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1921385]
ENSMUSG00000026585,Kifap3,kinesin-associated protein 3 [Source:MGI Symbol;Acc:MGI:107566]
ENSMUSG00000026586,Prrx1,paired related homeobox 1 [Source:MGI Symbol;Acc:MGI:97712]
ENSMUSG00000026587,Astn1,astrotactin 1 [Source:MGI Symbol;Acc:MGI:1098567]
ENSMUSG00000026589,Sec16b,SEC16 homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2148802]
ENSMUSG00000026592,Tex35,testis expressed 35 [Source:MGI Symbol;Acc:MGI:1920685]
ENSMUSG00000026594,Ralgps2,Ral GEF with PH domain and SH3 binding motif 2 [Source:MGI Symbol;Acc:MGI:1925505]
ENSMUSG00000026596,Abl2,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene) [Source:MGI Symbol;Acc:MGI:87860]"
ENSMUSG00000026600,Soat1,sterol O-acyltransferase 1 [Source:MGI Symbol;Acc:MGI:104665]
ENSMUSG00000026601,Axdnd1,axonemal dynein light chain domain containing 1 [Source:MGI Symbol;Acc:MGI:1924602]
ENSMUSG00000026602,Nphs2,"nephrosis 2, podocin [Source:MGI Symbol;Acc:MGI:2157018]"
ENSMUSG00000026603,Smyd2,SET and MYND domain containing 2 [Source:MGI Symbol;Acc:MGI:1915889]
ENSMUSG00000026604,Ptpn14,"protein tyrosine phosphatase, non-receptor type 14 [Source:MGI Symbol;Acc:MGI:102467]"
ENSMUSG00000026605,Cenpf,centromere protein F [Source:MGI Symbol;Acc:MGI:1313302]
ENSMUSG00000026608,Kctd3,potassium channel tetramerisation domain containing 3 [Source:MGI Symbol;Acc:MGI:2444629]
ENSMUSG00000026609,Ush2a,usherin [Source:MGI Symbol;Acc:MGI:1341292]
